feature1,feature2,feature3,feature4,label
75,204,248,183,0
10,233,191,53,1
31,134,137,177,0
192,168,49,145,1
251,150,87,5,0
192,168,152,108,1
75,195,79,35,0
172,28,154,193,1
111,246,203,238,0
192,168,187,140,1
89,68,225,211,0
10,110,169,220,1
31,223,198,197,0
192,168,70,202,1
8,4,89,162,0
10,220,99,51,1
115,107,156,3,0
172,30,213,0,1
159,173,254,6,0
192,168,177,253,1
165,165,97,82,0
10,237,194,70,1
12,11,73,78,0
172,19,106,159,1
32,154,110,78,0
172,17,13,29,1
71,89,84,78,0
192,168,232,52,1
232,180,188,0,0
192,168,221,218,1
11,210,181,42,0
172,19,145,95,1
203,88,148,67,0
192,168,183,169,1
249,250,200,187,0
10,41,169,193,1
135,197,52,239,0
192,168,148,80,1
27,144,220,68,0
192,168,154,7,1
104,235,163,88,0
192,168,119,32,1
225,63,54,185,0
172,20,17,94,1
169,9,43,168,0
172,21,242,183,1
28,75,189,149,0
10,85,32,247,1
179,78,70,12,0
10,102,191,52,1
185,3,182,86,0
192,168,141,5,1
177,34,88,114,0
172,28,64,160,1
84,24,247,66,0
192,168,191,232,1
182,244,234,158,0
172,18,150,137,1
217,170,22,30,0
172,28,135,120,1
92,134,151,229,0
10,198,12,221,1
245,27,134,82,0
172,31,78,63,1
215,103,85,58,0
172,18,219,25,1
24,152,17,230,0
10,24,74,21,1
110,161,80,186,0
172,19,127,99,1
96,73,149,187,0
10,242,149,58,1
108,77,223,45,0
172,30,83,100,1
14,184,27,51,0
172,20,128,217,1
69,25,46,202,0
192,168,55,159,1
226,173,113,135,0
192,168,189,201,1
143,95,15,174,0
172,16,97,145,1
226,227,184,224,0
172,30,55,96,1
102,42,97,117,0
10,127,227,248,1
190,42,220,79,0
172,29,180,139,1
56,163,98,38,0
192,168,73,32,1
164,112,194,160,0
10,106,225,222,1
194,180,112,108,0
10,237,113,113,1
58,51,141,15,0
10,40,183,206,1
57,44,84,123,0
192,168,86,119,1
33,254,92,247,0
172,30,91,184,1
53,117,112,205,0
192,168,145,12,1
106,109,163,42,0
10,105,219,236,1
168,209,146,121,0
192,168,58,156,1
238,70,11,134,0
172,18,124,145,1
89,32,221,199,0
10,77,235,70,1
106,160,207,116,0
172,23,116,209,1
155,239,151,195,0
172,25,70,42,1
185,200,185,141,0
192,168,42,61,1
204,64,142,22,0
172,20,23,98,1
203,173,212,188,0
192,168,224,142,1
252,247,23,244,0
10,139,209,69,1
125,63,87,75,0
192,168,42,239,1
77,91,87,207,0
172,26,4,159,1
0,180,68,237,0
172,26,47,123,1
230,60,82,75,0
192,168,200,252,1
36,199,153,162,0
192,168,125,14,1
206,123,191,199,0
192,168,249,141,1
78,29,93,252,0
10,204,84,7,1
171,162,154,205,0
10,73,136,180,1
33,74,201,196,0
10,7,92,146,1
121,43,188,213,0
172,16,5,180,1
65,131,197,150,0
10,138,242,80,1
181,58,172,19,0
172,18,110,243,1
210,229,208,152,0
192,168,110,8,1
225,40,88,50,0
172,19,243,145,1
211,40,124,49,0
10,52,63,245,1
156,113,120,27,0
10,165,3,227,1
63,227,30,72,0
172,26,174,45,1
147,124,134,214,0
192,168,195,44,1
134,120,62,200,0
10,214,62,78,1
214,242,178,81,0
192,168,100,209,1
229,185,75,183,0
10,96,195,44,1
190,82,79,66,0
10,202,106,113,1
241,93,81,94,0
10,27,106,147,1
50,87,107,87,0
192,168,142,152,1
138,21,118,189,0
192,168,201,5,1
139,213,97,49,0
10,135,196,199,1
66,225,233,220,0
10,48,125,124,1
212,3,89,197,0
10,36,131,4,1
14,222,14,245,0
192,168,39,247,1
247,118,45,192,0
192,168,41,252,1
63,103,56,29,0
172,27,187,9,1
62,76,26,106,0
172,19,166,16,1
135,173,0,32,0
172,24,23,163,1
115,44,46,22,0
10,20,223,58,1
61,230,185,74,0
192,168,7,116,1
178,128,248,203,0
192,168,240,138,1
197,7,237,188,0
172,31,58,116,1
230,172,110,123,0
172,28,130,70,1
115,56,11,152,0
10,142,9,83,1
62,132,181,79,0
10,79,39,89,1
37,251,208,189,0
192,168,47,46,1
228,19,40,182,0
10,152,37,49,1
225,199,55,119,0
192,168,21,218,1
143,4,103,41,0
192,168,98,88,1
101,92,143,248,0
10,188,221,224,1
173,124,193,0,0
10,253,102,149,1
183,239,195,22,0
172,30,112,189,1
221,147,248,30,0
172,18,199,174,1
93,220,106,181,0
10,85,226,51,1
1,199,254,211,0
192,168,44,27,1
64,79,60,199,0
10,24,25,24,1
121,238,220,221,0
172,31,121,157,1
38,131,0,137,0
192,168,192,50,1
5,217,237,1,0
192,168,112,84,1
120,82,199,25,0
172,17,164,61,1
44,36,98,191,0
192,168,66,168,1
188,155,201,78,0
172,21,165,209,1
124,161,211,137,0
10,31,246,182,1
190,84,144,234,0
10,23,200,133,1
197,212,79,95,0
192,168,113,210,1
155,115,75,253,0
172,25,141,158,1
190,176,120,43,0
192,168,143,121,1
220,123,174,26,0
192,168,165,44,1
141,107,229,134,0
10,103,168,238,1
240,116,180,138,0
172,19,14,103,1
7,99,62,206,0
10,113,127,152,1
134,180,137,242,0
10,118,221,161,1
228,17,128,121,0
10,47,232,223,1
128,25,181,65,0
10,179,164,95,1
216,78,173,164,0
10,214,202,217,1
93,246,160,117,0
192,168,74,98,1
206,23,202,110,0
10,188,6,89,1
75,202,149,232,0
10,54,212,189,1
206,75,193,247,0
172,22,200,54,1
228,104,112,106,0
172,22,100,154,1
20,198,119,203,0
172,29,246,204,1
121,156,122,173,0
192,168,209,171,1
147,141,225,138,0
172,22,136,181,1
17,190,16,64,0
172,30,73,249,1
8,78,135,54,0
172,25,174,50,1
151,96,126,208,0
172,21,60,12,1
140,154,232,221,0
172,22,59,204,1
237,214,30,17,0
10,103,22,32,1
145,142,63,22,0
10,35,187,46,1
189,33,189,16,0
172,22,131,243,1
31,40,170,120,0
172,18,181,80,1
135,14,174,200,0
10,97,35,198,1
48,26,153,64,0
172,18,159,215,1
107,113,77,164,0
10,71,85,76,1
126,96,212,65,0
10,240,202,180,1
117,85,255,235,0
172,24,221,246,1
103,128,172,98,0
192,168,207,6,1
61,139,36,82,0
10,131,178,244,1
205,108,74,104,0
192,168,110,159,1
166,115,187,73,0
172,28,194,255,1
153,55,92,244,0
172,20,251,229,1
214,18,1,206,0
10,0,118,125,1
117,64,35,19,0
172,28,227,137,1
39,156,47,16,0
172,26,90,52,1
3,101,110,241,0
192,168,111,205,1
81,15,178,107,0
172,25,80,196,1
65,233,192,90,0
192,168,47,77,1
162,161,211,19,0
10,116,62,223,1
117,76,129,44,0
172,16,241,24,1
47,196,205,125,0
10,26,208,253,1
15,104,219,55,0
10,225,175,130,1
21,151,92,229,0
192,168,53,64,1
5,194,202,25,0
172,24,61,191,1
145,166,63,153,0
10,255,164,12,1
78,83,67,238,0
172,16,55,62,1
140,116,244,180,0
10,248,87,125,1
149,120,152,114,0
172,17,1,1,1
73,64,113,173,0
10,243,177,42,1
213,112,95,143,0
172,30,238,145,1
144,57,59,80,0
192,168,160,28,1
54,155,140,26,0
172,31,85,166,1
85,12,171,238,0
172,24,11,212,1
227,193,255,40,0
172,30,66,73,1
118,254,35,114,0
172,24,253,129,1
121,234,200,9,0
10,215,106,69,1
239,158,237,247,0
192,168,23,189,1
162,171,230,211,0
192,168,184,88,1
129,22,50,186,0
10,154,235,77,1
56,12,172,229,0
172,18,116,212,1
92,98,176,130,0
172,23,66,198,1
193,216,72,92,0
192,168,32,230,1
93,57,70,94,0
10,187,81,2,1
120,43,162,253,0
172,23,100,19,1
5,167,161,50,0
192,168,177,40,1
164,72,71,165,0
172,30,242,137,1
30,158,115,15,0
172,18,215,141,1
61,251,77,145,0
10,97,21,192,1
156,18,38,10,0
172,28,162,146,1
147,31,220,208,0
192,168,55,113,1
78,139,141,31,0
172,25,69,21,1
111,98,165,73,0
172,28,79,39,1
185,80,57,170,0
10,80,221,41,1
221,82,128,60,0
10,18,97,158,1
61,140,219,230,0
192,168,169,2,1
191,105,250,246,0
10,157,74,189,1
52,216,159,66,0
192,168,91,141,1
12,0,92,134,0
192,168,32,41,1
43,194,235,119,0
10,83,151,122,1
226,55,39,207,0
192,168,109,176,1
156,86,225,44,0
10,166,137,148,1
39,171,6,97,0
10,184,117,195,1
27,124,115,174,0
10,243,236,24,1
3,55,5,25,0
10,0,191,11,1
14,10,72,55,0
10,247,147,117,1
244,36,220,247,0
